what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925578334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925593102
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925600578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925608453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925621196
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925631927
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292925639907
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925649689
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925650698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925655484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925703098
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925704512
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925771034
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925773726
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925786488
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925798552
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925817484
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925820117
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1292925827016
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925828729
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925829791
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925832086
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925982612
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925985192
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292925989859
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292925992643
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292926014383
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292926036119
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1292926038922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1292926045325
